# time [s];Channel 0;Channel 1;Channel 2;Channel 3;Channel 4;Channel 5
2.278000;0.456860;0.465371;-0.008511;-0.625454;-60.000000;-0.055857
2.279000;0.457169;0.465355;-0.008186;-0.625542;-60.000000;-0.066027
2.280000;0.457480;0.465334;-0.007854;-0.625643;-60.000000;-0.075619
2.281000;0.457790;0.465308;-0.007518;-0.625755;-60.000000;-0.084635
2.283000;0.458101;0.465278;-0.007177;-0.625880;-60.000000;-0.093075
2.284000;0.458412;0.465242;-0.006830;-0.626014;-60.000000;-0.100941
2.285000;0.458723;0.465201;-0.006478;-0.626034;-60.000000;-0.014899
2.287000;0.459033;0.465155;-0.006122;-0.626064;-60.000000;-0.022863
2.288000;0.459343;0.465103;-0.005760;-0.626105;-60.000000;-0.030239
2.289000;0.459652;0.465047;-0.005395;-0.626154;-60.000000;-0.037029
2.290000;0.459961;0.464986;-0.005025;-0.626212;-60.000000;-0.043235
2.292000;0.460268;0.464919;-0.004651;-0.626277;-60.000000;-0.048860
2.293000;0.460575;0.464849;-0.004274;-0.626349;-60.000000;-0.053908
2.294000;0.460880;0.464774;-0.003895;-0.626427;-60.000000;-0.058382
2.296000;0.461183;0.464696;-0.003513;-0.626510;-60.000000;-0.062288
2.297000;0.461485;0.464614;-0.003130;-0.626597;-60.000000;-0.065630
2.298000;0.461784;0.464529;-0.002745;-0.626688;-60.000000;-0.068415
2.299000;0.462081;0.464442;-0.002361;-0.626783;-60.000000;-0.070651
2.301000;0.462375;0.464352;-0.001977;-0.626879;-60.000000;-0.072345
2.302000;0.462665;0.464261;-0.001595;-0.626977;-60.000000;-0.073508
2.303000;0.462952;0.464168;-0.001216;-0.627076;-60.000000;-0.074149
2.304000;0.463234;0.464074;-0.000840;-0.627175;-60.000000;-0.074281
2.306000;0.463510;0.463978;-0.000468;-0.627274;-60.000000;-0.073915
2.307000;0.463782;0.463882;-0.000100;-0.627371;-60.000000;-0.073063
2.308000;0.464047;0.463784;0.000263;-0.627467;-60.000000;-0.071738
2.310000;0.464307;0.463685;0.000621;-0.627560;-60.000000;-0.069953
2.311000;0.464560;0.463585;0.000975;-0.627650;-60.000000;-0.067721
2.312000;0.464806;0.463483;0.001323;-0.627737;-60.000000;-0.065055
2.313000;0.465046;0.463381;0.001665;-0.627820;-60.000000;-0.061967
2.315000;0.465279;0.463279;0.002000;-0.627898;-60.000000;-0.058474
2.316000;0.465505;0.463177;0.002328;-0.627970;-60.000000;-0.054590
2.317000;0.465724;0.463076;0.002648;-0.628037;-60.000000;-0.050331
2.319000;0.465936;0.462977;0.002959;-0.628098;-60.000000;-0.045714
2.320000;0.466141;0.462880;0.003261;-0.628153;-60.000000;-0.040757
2.321000;0.466339;0.462787;0.003552;-0.628200;-60.000000;-0.035477
2.322000;0.466530;0.462697;0.003833;-0.628240;-60.000000;-0.029894
2.324000;0.466715;0.462613;0.004102;-0.628272;-60.000000;-0.024027
2.325000;0.466893;0.462535;0.004358;-0.628296;-60.000000;-0.017895
2.326000;0.467065;0.462463;0.004601;-0.628311;-60.000000;-0.011522
2.328000;0.467230;0.462400;0.004830;-0.628318;-60.000000;-0.004927
2.329000;0.467390;0.462346;0.005044;-0.628315;-60.000000;0.001864
2.330000;0.467544;0.462303;0.005242;-0.628303;-60.000000;0.008828
2.331000;0.467693;0.462271;0.005421;-0.628282;-60.000000;0.015939
2.333000;0.467836;0.462253;0.005583;-0.628251;-60.000000;0.023170
2.334000;0.467974;0.462249;0.005725;-0.628211;-60.000000;0.030495
2.335000;0.468107;0.462260;0.005847;-0.628160;-60.000000;0.037884
2.336000;0.468235;0.462287;0.005948;-0.628100;-60.000000;0.045309
2.338000;0.468357;0.462331;0.006026;-0.628029;-60.000000;0.052740
2.339000;0.468474;0.462392;0.006082;-0.627949;-60.000000;0.060146
2.340000;0.468585;0.462470;0.006115;-0.627859;-60.000000;0.067498
2.342000;0.468690;0.462565;0.006124;-0.627760;-60.000000;0.074764
2.343000;0.468788;0.462678;0.006110;-0.627650;-60.000000;0.081914
2.344000;0.468879;0.462808;0.006071;-0.627532;-60.000000;0.088916
2.345000;0.468963;0.462954;0.006008;-0.627404;-60.000000;0.095742
2.347000;0.469039;0.463117;0.005922;-0.627268;-60.000000;0.102362
2.348000;0.469108;0.463295;0.005813;-0.627247;-60.000000;0.015415
2.349000;0.469169;0.463487;0.005682;-0.627217;-60.000000;0.022785
2.351000;0.469224;0.463694;0.005530;-0.627177;-60.000000;0.029855
2.352000;0.469271;0.463914;0.005357;-0.627128;-60.000000;0.036599
2.353000;0.469310;0.464146;0.005165;-0.627071;-60.000000;0.042997
2.354000;0.469343;0.464390;0.004954;-0.627005;-60.000000;0.049029
2.356000;0.469370;0.464645;0.004725;-0.626932;-60.000000;0.054675
2.357000;0.469390;0.464911;0.004479;-0.626853;-60.000000;0.059918
2.358000;0.469403;0.465188;0.004216;-0.626766;-60.000000;0.064740
2.360000;0.469411;0.465476;0.003935;-0.626674;-60.000000;0.069124
2.361000;0.469413;0.465775;0.003638;-0.626577;-60.000000;0.073054
2.362000;0.469410;0.466086;0.003324;-0.626475;-60.000000;0.076511
2.363000;0.469402;0.466410;0.002991;-0.626369;-60.000000;0.079480
2.365000;0.469388;0.466747;0.002641;-0.626259;-60.000000;0.081941
2.366000;0.469371;0.467099;0.002272;-0.626148;-60.000000;0.083878
2.367000;0.469348;0.467465;0.001884;-0.626034;-60.000000;0.085271
2.368000;0.469322;0.467846;0.001477;-0.625919;-60.000000;0.086103
2.370000;0.469292;0.468242;0.001050;-0.625804;-60.000000;0.086355
2.371000;0.469258;0.468654;0.000604;-0.625689;-60.000000;0.086009
2.372000;0.469221;0.469082;0.000139;-0.625576;-60.000000;0.085047
2.374000;0.469180;0.469525;-0.000345;-0.625465;-60.000000;0.083454
2.375000;0.469137;0.469984;-0.000847;-0.625356;-60.000000;0.081211
2.376000;0.469091;0.470458;-0.001368;-0.625252;-60.000000;0.078305
2.377000;0.469042;0.470947;-0.001905;-0.625152;-60.000000;0.074721
