# time [s];Channel 0;Channel 1;Channel 2;Channel 3;Channel 4;Channel 5
1.683000;0.470375;0.476814;-0.006439;-0.478581;-30.000000;-0.019404
1.684000;0.459251;0.466911;-0.007660;-0.478620;-30.000000;-0.029359
1.686000;0.442954;0.453117;-0.010163;-0.478677;-30.000000;-0.042517
1.687000;0.433829;0.448096;-0.014267;-0.478758;-30.000000;-0.060973
1.688000;0.433814;0.447776;-0.013962;-0.478863;-30.000000;-0.078776
1.689000;0.439277;0.444327;-0.005051;-0.478975;-30.000000;-0.084460
1.691000;0.451881;0.442008;0.009873;-0.479069;-30.000000;-0.070170
1.692000;0.460014;0.440497;0.019516;-0.479127;-30.000000;-0.043213
1.693000;0.461479;0.441398;0.020081;-0.479148;-30.000000;-0.015862
1.694000;0.460395;0.444709;0.015686;-0.479141;-30.000000;0.005264
1.696000;0.460334;0.449363;0.010971;-0.479114;-30.000000;0.019822
1.697000;0.466743;0.458259;0.008484;-0.479073;-30.000000;0.030870
1.698000;0.474830;0.469032;0.005798;-0.479022;-30.000000;0.038190
1.700000;0.476234;0.475578;0.000656;-0.478971;-30.000000;0.038555
1.701000;0.473518;0.479194;-0.005676;-0.478930;-30.000000;0.030473
1.702000;0.469429;0.479561;-0.010132;-0.478908;-30.000000;0.016557
1.703000;0.467231;0.479271;-0.012039;-0.478908;-30.000000;0.000284
1.705000;0.458961;0.470985;-0.012024;-0.478929;-30.000000;-0.015752
1.706000;0.449119;0.460548;-0.011429;-0.478970;-30.000000;-0.030781
1.707000;0.445243;0.455833;-0.010590;-0.479029;-30.000000;-0.044490
1.709000;0.445243;0.452049;-0.006806;-0.479100;-30.000000;-0.052971
1.710000;0.448646;0.445365;0.003281;-0.479164;-30.000000;-0.047890
1.711000;0.454185;0.441703;0.012482;-0.479204;-30.000000;-0.030609
1.712000;0.455451;0.440024;0.015427;-0.479217;-30.000000;-0.009632
1.714000;0.454948;0.441093;0.013855;-0.479205;-30.000000;0.008970
1.715000;0.455207;0.444236;0.010971;-0.479174;-30.000000;0.023479
1.716000;0.463447;0.451087;0.012360;-0.479121;-30.000000;0.039645
1.718000;0.475105;0.462501;0.012604;-0.479047;-30.000000;0.055922
1.719000;0.478752;0.471458;0.007294;-0.478960;-30.000000;0.064902
1.720000;0.475761;0.477256;-0.001495;-0.478877;-30.000000;0.062042
1.721000;0.470314;0.480583;-0.010269;-0.478814;-30.000000;0.047523
1.723000;0.458671;0.480644;-0.021973;-0.478790;-30.000000;0.017592
1.724000;0.441505;0.477333;-0.035828;-0.478831;-30.000000;-0.030414
1.725000;0.422354;0.466407;-0.044053;-0.478949;-30.000000;-0.088745
1.727000;0.417578;0.460014;-0.042435;-0.479142;-30.000000;-0.144142
1.728000;0.422583;0.459281;-0.036698;-0.479272;-30.000000;-0.097818
1.729000;0.428946;0.456733;-0.027787;-0.479450;-30.000000;-0.133562
1.730000;0.432059;0.453193;-0.021134;-0.479539;-30.000000;-0.066627
1.732000;0.430838;0.450294;-0.019455;-0.479661;-30.000000;-0.091679
1.733000;0.427680;0.447822;-0.020142;-0.479818;-30.000000;-0.117312
1.734000;0.429740;0.449241;-0.019501;-0.479882;-30.000000;-0.048416
1.735000;0.438178;0.453712;-0.015534;-0.479973;-30.000000;-0.068482
1.737000;0.457328;0.462318;-0.004990;-0.480072;-30.000000;-0.074222
1.738000;0.477455;0.472984;0.004471;-0.480162;-30.000000;-0.067271
1.739000;0.485832;0.479957;0.005875;-0.480240;-30.000000;-0.058541
1.741000;0.484825;0.483955;0.000870;-0.480316;-30.000000;-0.056601
1.742000;0.479438;0.484840;-0.005402;-0.480400;-30.000000;-0.063049
1.743000;0.474800;0.483406;-0.008606;-0.480498;-30.000000;-0.073683
1.744000;0.468315;0.474220;-0.005905;-0.480605;-30.000000;-0.080574
1.746000;0.461372;0.461692;-0.000320;-0.480712;-30.000000;-0.079927
1.747000;0.463752;0.456550;0.007202;-0.480804;-30.000000;-0.069258
1.748000;0.470893;0.454215;0.016678;-0.480866;-30.000000;-0.046097
1.750000;0.472709;0.449088;0.023621;-0.480884;-30.000000;-0.013988
1.751000;0.468864;0.446097;0.022766;-0.480862;-30.000000;0.016554
1.752000;0.458213;0.443534;0.014679;-0.480814;-30.000000;0.035905
1.753000;0.450156;0.444709;0.005447;-0.480758;-30.000000;0.042690
1.755000;0.447593;0.448432;-0.000839;-0.480703;-30.000000;0.041002
1.756000;0.448600;0.454093;-0.005493;-0.480659;-30.000000;0.033131
1.757000;0.459220;0.464088;-0.004868;-0.480624;-30.000000;0.026199
1.759000;0.471687;0.473472;-0.001785;-0.480592;-30.000000;0.023469
1.760000;0.470817;0.477974;-0.007156;-0.480574;-30.000000;0.013614
1.761000;0.459861;0.480964;-0.021103;-0.480594;-30.000000;-0.014705
1.762000;0.443565;0.481437;-0.037873;-0.480681;-30.000000;-0.065006
1.764000;0.425147;0.478401;-0.053254;-0.480861;-30.000000;-0.135145
1.765000;0.401312;0.464515;-0.063203;-0.481026;-30.000000;-0.124280
1.766000;0.392294;0.455344;-0.063050;-0.481178;-30.000000;-0.113357
1.767000;0.394232;0.454047;-0.059815;-0.481309;-30.000000;-0.098266
1.769000;0.401282;0.452308;-0.051026;-0.481529;-30.000000;-0.164990
1.770000;0.419898;0.446921;-0.027024;-0.481669;-30.000000;-0.105489
1.771000;0.442359;0.443565;-0.001205;-0.481686;-30.000000;-0.012356
1.773000;0.456214;0.441581;0.014633;-0.481676;-30.000000;0.007320
1.774000;0.462776;0.442115;0.020661;-0.481630;-30.000000;0.034770
1.775000;0.461723;0.444465;0.017258;-0.481553;-30.000000;0.057317
1.776000;0.463264;0.450996;0.012268;-0.481456;-30.000000;0.072910
1.778000;0.475181;0.462028;0.013153;-0.481337;-30.000000;0.089476
1.779000;0.487785;0.469871;0.017914;-0.481187;-30.000000;0.112168
1.780000;0.493477;0.473594;0.019883;-0.481129;-30.000000;0.043849
1.782000;0.493568;0.476204;0.017365;-0.481040;-30.000000;0.066418
1.783000;0.489677;0.476967;0.012711;-0.480930;-30.000000;0.082480
1.784000;0.480629;0.471839;0.008789;-0.480806;-30.000000;0.093099
1.785000;0.468910;0.459861;0.009049;-0.480667;-30.000000;0.103922
1.787000;0.464256;0.454078;0.010178;-0.480637;-30.000000;0.022774
1.788000;0.462715;0.453376;0.009339;-0.480591;-30.000000;0.034922
1.789000;0.456184;0.448997;0.007187;-0.480532;-30.000000;0.044039
1.791000;0.450645;0.444617;0.006027;-0.480463;-30.000000;0.051488
1.792000;0.447944;0.442313;0.005631;-0.480385;-30.000000;0.058309
1.793000;0.447089;0.441398;0.005692;-0.480299;-30.000000;0.065120
1.794000;0.449989;0.444251;0.005737;-0.480203;-30.000000;0.071902
1.796000;0.454383;0.448890;0.005493;-0.480098;-30.000000;0.078267
1.797000;0.462119;0.457710;0.004410;-0.479988;-30.000000;0.083104
1.798000;0.469047;0.468406;0.000641;-0.479877;-30.000000;0.082850
1.799000;0.467567;0.473976;-0.006409;-0.479779;-30.000000;0.073200
1.801000;0.457725;0.477287;-0.019562;-0.479718;-30.000000;0.046142
1.802000;0.441596;0.478981;-0.037385;-0.479724;-30.000000;-0.004320
1.803000;0.428244;0.478370;-0.050126;-0.479819;-30.000000;-0.071097
1.805000;0.424720;0.469337;-0.044617;-0.479991;-30.000000;-0.129639
1.806000;0.426291;0.459068;-0.032776;-0.480096;-30.000000;-0.078279
1.807000;0.428992;0.455924;-0.026932;-0.480247;-30.000000;-0.113144
1.808000;0.430655;0.453681;-0.023026;-0.480312;-30.000000;-0.049004
1.810000;0.432593;0.447745;-0.015152;-0.480403;-30.000000;-0.068553
1.811000;0.439445;0.444800;-0.005356;-0.480503;-30.000000;-0.074780
1.812000;0.449134;0.443229;0.005905;-0.480591;-30.000000;-0.065910
1.814000;0.459724;0.444724;0.015000;-0.480651;-30.000000;-0.045031
1.815000;0.468284;0.447532;0.020752;-0.480673;-30.000000;-0.016761
1.816000;0.474601;0.453559;0.021042;-0.480658;-30.000000;0.011519
1.817000;0.480690;0.463569;0.017121;-0.480612;-30.000000;0.034192
1.819000;0.484413;0.473365;0.011048;-0.480548;-30.000000;0.048467
1.820000;0.484932;0.478248;0.006683;-0.480472;-30.000000;0.056732
1.821000;0.483955;0.480003;0.003952;-0.480390;-30.000000;0.061245
1.823000;0.481621;0.478965;0.002655;-0.480305;-30.000000;0.063968
1.824000;0.477256;0.473747;0.003510;-0.480215;-30.000000;0.067795
1.825000;0.463874;0.457618;0.006256;-0.480114;-30.000000;0.075232
1.826000;0.457542;0.449088;0.008453;-0.480000;-30.000000;0.085501
1.828000;0.458747;0.448112;0.010636;-0.479869;-30.000000;0.098541
1.829000;0.458213;0.445914;0.012299;-0.479718;-30.000000;0.113626
1.830000;0.454276;0.442573;0.011704;-0.479672;-30.000000;0.034382
1.831000;0.452598;0.441474;0.011124;-0.479607;-30.000000;0.048756
1.833000;0.450706;0.440055;0.010651;-0.479524;-30.000000;0.062307
1.834000;0.452155;0.442603;0.009552;-0.479425;-30.000000;0.074212
1.835000;0.455177;0.447471;0.007706;-0.479313;-30.000000;0.083497
1.837000;0.462150;0.455924;0.006226;-0.479192;-30.000000;0.090685
1.838000;0.471199;0.466957;0.004242;-0.479066;-30.000000;0.095132
1.839000;0.475380;0.472877;0.002502;-0.478936;-30.000000;0.097200
1.840000;0.477058;0.475578;0.001480;-0.478805;-30.000000;0.097877
1.842000;0.477089;0.476387;0.000702;-0.478675;-30.000000;0.097508
1.843000;0.474739;0.475410;-0.000671;-0.478548;-30.000000;0.095313
1.844000;0.465263;0.467323;-0.002060;-0.478427;-30.000000;0.091295
1.846000;0.450599;0.454795;-0.004196;-0.478314;-30.000000;0.084483
1.847000;0.445609;0.450309;-0.004700;-0.478211;-30.000000;0.077090
1.848000;0.446006;0.449882;-0.003876;-0.478117;-30.000000;0.070895
1.849000;0.440864;0.447135;-0.006271;-0.478035;-30.000000;0.061588
1.851000;0.429313;0.444846;-0.015534;-0.477981;-30.000000;0.040055
1.852000;0.411215;0.444190;-0.032975;-0.477987;-30.000000;-0.004446
1.853000;0.390784;0.444877;-0.054093;-0.478089;-30.000000;-0.076511
1.855000;0.374228;0.445991;-0.071763;-0.478317;-30.000000;-0.171175
1.856000;0.374807;0.448096;-0.073289;-0.478548;-30.000000;-0.173278
1.857000;0.400610;0.455924;-0.055314;-0.478750;-30.000000;-0.151386
1.858000;0.435370;0.465064;-0.029694;-0.478878;-30.000000;-0.095626
1.860000;0.453468;0.469749;-0.016281;-0.479032;-30.000000;-0.116060
1.861000;0.461601;0.473213;-0.011612;-0.479081;-30.000000;-0.036662
1.862000;0.467506;0.474510;-0.007004;-0.479142;-30.000000;-0.045511
1.864000;0.468727;0.474525;-0.005798;-0.479212;-30.000000;-0.052636
1.865000;0.458946;0.464607;-0.005661;-0.479292;-30.000000;-0.059482
1.866000;0.459373;0.455695;0.003677;-0.479363;-30.000000;-0.053786
1.867000;0.471687;0.454353;0.017334;-0.479403;-30.000000;-0.029956
1.869000;0.480568;0.453620;0.026947;-0.479395;-30.000000;0.006373
1.870000;0.479957;0.449241;0.030716;-0.479332;-30.000000;0.047243
1.871000;0.477211;0.446479;0.030732;-0.479215;-30.000000;0.087589
1.872000;0.473594;0.444541;0.029053;-0.479048;-30.000000;0.125158
1.874000;0.472099;0.444526;0.027573;-0.478959;-30.000000;0.066920
1.875000;0.472114;0.446845;0.025269;-0.478826;-30.000000;0.099720
1.876000;0.475074;0.453300;0.021775;-0.478656;-30.000000;0.127423
1.878000;0.481575;0.463615;0.017960;-0.478581;-30.000000;0.056338
1.879000;0.486030;0.471931;0.014099;-0.478482;-30.000000;0.074385
1.880000;0.486870;0.476600;0.010269;-0.478366;-30.000000;0.087086
1.881000;0.486488;0.479271;0.007218;-0.478238;-30.000000;0.095548
1.883000;0.483482;0.479088;0.004395;-0.478105;-30.000000;0.100134
1.884000;0.476188;0.473747;0.002441;-0.478093;-30.000000;0.008721
1.885000;0.459571;0.459342;0.000229;-0.478081;-30.000000;0.008910
1.887000;0.449729;0.452079;-0.002350;-0.478074;-30.000000;0.005658
1.888000;0.446082;0.451575;-0.005493;-0.478076;-30.000000;-0.001742
1.889000;0.441352;0.448508;-0.007156;-0.478091;-30.000000;-0.011261
1.890000;0.437842;0.444633;-0.006790;-0.478118;-30.000000;-0.020165
1.892000;0.438331;0.441840;-0.003510;-0.478151;-30.000000;-0.024575
1.893000;0.440528;0.440482;0.000046;-0.478183;-30.000000;-0.024186
1.894000;0.445151;0.443015;0.002136;-0.478211;-30.000000;-0.021016
1.895000;0.448707;0.447547;0.001160;-0.478236;-30.000000;-0.019189
1.897000;0.450599;0.456489;-0.005890;-0.478272;-30.000000;-0.026787
1.898000;0.444541;0.467597;-0.023056;-0.478348;-30.000000;-0.057171
1.899000;0.430503;0.474586;-0.044083;-0.478502;-30.000000;-0.115187
1.901000;0.422477;0.478202;-0.055726;-0.478628;-30.000000;-0.094619
1.902000;0.430991;0.478965;-0.047974;-0.478838;-30.000000;-0.157323
1.903000;0.449577;0.478630;-0.029053;-0.478972;-30.000000;-0.100630
1.904000;0.454978;0.470298;-0.015320;-0.479007;-30.000000;-0.026381
1.906000;0.448646;0.459144;-0.010498;-0.479061;-30.000000;-0.040027
1.907000;0.442649;0.455070;-0.012421;-0.479135;-30.000000;-0.056055
1.908000;0.443305;0.454612;-0.011307;-0.479229;-30.000000;-0.070383
1.910000;0.448325;0.451194;-0.002869;-0.479327;-30.000000;-0.073270
1.911000;0.452308;0.448508;0.003799;-0.479417;-30.000000;-0.067227
1.912000;0.455238;0.447272;0.007965;-0.479491;-30.000000;-0.055710
1.913000;0.460365;0.448157;0.012207;-0.479542;-30.000000;-0.038691
1.915000;0.466972;0.451881;0.015091;-0.479566;-30.000000;-0.018053
1.916000;0.472694;0.457267;0.015427;-0.479563;-30.000000;0.002756
1.917000;0.478904;0.466423;0.012482;-0.479537;-30.000000;0.019362
1.919000;0.484871;0.474205;0.010666;-0.479493;-30.000000;0.033325
1.920000;0.486732;0.476310;0.010422;-0.479430;-30.000000;0.046777
1.921000;0.490272;0.477134;0.013138;-0.479345;-30.000000;0.063671
1.922000;0.495216;0.476524;0.018692;-0.479228;-30.000000;0.087745
1.924000;0.496605;0.475135;0.021469;-0.479075;-30.000000;0.115201
1.925000;0.484230;0.464607;0.019623;-0.479013;-30.000000;0.046496
1.926000;0.470954;0.455131;0.015824;-0.478923;-30.000000;0.066974
1.928000;0.464195;0.452644;0.011551;-0.478815;-30.000000;0.081482
1.929000;0.458885;0.451286;0.007599;-0.478694;-30.000000;0.090528
1.930000;0.452506;0.447410;0.005097;-0.478566;-30.000000;0.096116
1.931000;0.449058;0.445182;0.003876;-0.478433;-30.000000;0.100002
