# time [s];Channel 0;Channel 1;Channel 2;Channel 3;Channel 4;Channel 5
2.700000;0.449622;0.459953;-0.010330;-0.383106;-30.000000;-0.080023
2.701000;0.449470;0.460014;-0.010544;-0.383230;-30.000000;-0.093015
2.703000;0.448920;0.460014;-0.011093;-0.383372;-30.000000;-0.106566
2.704000;0.449165;0.459724;-0.010559;-0.383407;-30.000000;-0.025890
2.705000;0.450217;0.458961;-0.008743;-0.383456;-30.000000;-0.037203
2.706000;0.450156;0.457588;-0.007431;-0.383518;-30.000000;-0.046615
2.708000;0.447379;0.456016;-0.008637;-0.383595;-30.000000;-0.057509
2.709000;0.443717;0.455268;-0.011551;-0.383691;-30.000000;-0.072144
2.710000;0.441566;0.455406;-0.013840;-0.383811;-30.000000;-0.089635
2.712000;0.442603;0.455299;-0.012695;-0.383951;-30.000000;-0.105367
2.713000;0.447456;0.455131;-0.007675;-0.383979;-30.000000;-0.020863
2.714000;0.453208;0.454307;-0.001099;-0.384008;-30.000000;-0.022050
2.715000;0.456046;0.453681;0.002365;-0.384033;-30.000000;-0.018602
2.717000;0.456535;0.453086;0.003449;-0.384052;-30.000000;-0.013756
2.718000;0.457008;0.453132;0.003876;-0.384063;-30.000000;-0.008405
2.719000;0.457542;0.453971;0.003571;-0.384068;-30.000000;-0.003532
2.721000;0.458198;0.454887;0.003311;-0.384066;-30.000000;0.000930
2.722000;0.458000;0.455421;0.002579;-0.384060;-30.000000;0.004356
2.723000;0.457465;0.455116;0.002350;-0.384051;-30.000000;0.007431
2.724000;0.456641;0.455543;0.001099;-0.384039;-30.000000;0.008797
2.726000;0.455741;0.456474;-0.000732;-0.384029;-30.000000;0.007703
2.727000;0.454826;0.457176;-0.002350;-0.384023;-30.000000;0.004467
2.728000;0.453758;0.457343;-0.003586;-0.384023;-30.000000;-0.000373
2.729000;0.452583;0.456916;-0.004334;-0.384031;-30.000000;-0.006147
2.731000;0.451255;0.456611;-0.005356;-0.384049;-30.000000;-0.013206
2.732000;0.450156;0.456260;-0.006104;-0.384077;-30.000000;-0.021168
2.733000;0.449577;0.455741;-0.006165;-0.384116;-30.000000;-0.029105
2.735000;0.450385;0.455497;-0.005112;-0.384163;-30.000000;-0.035533
2.736000;0.452277;0.455909;-0.003632;-0.384217;-30.000000;-0.039901
2.737000;0.454261;0.456733;-0.002472;-0.384273;-30.000000;-0.042665
2.738000;0.455116;0.458061;-0.002945;-0.384335;-30.000000;-0.046023
2.740000;0.455070;0.459113;-0.004044;-0.384403;-30.000000;-0.050801
2.741000;0.454795;0.459266;-0.004471;-0.384477;-30.000000;-0.056085
2.742000;0.453773;0.458656;-0.004883;-0.384560;-30.000000;-0.061847
2.744000;0.452079;0.458320;-0.006241;-0.384652;-30.000000;-0.069344
2.745000;0.450416;0.457511;-0.007095;-0.384756;-30.000000;-0.077880
2.746000;0.448371;0.456886;-0.008515;-0.384874;-30.000000;-0.088194
2.747000;0.446204;0.456504;-0.010300;-0.385008;-30.000000;-0.100752
2.749000;0.445624;0.456382;-0.010758;-0.385035;-30.000000;-0.020418
2.750000;0.448890;0.456107;-0.007218;-0.385075;-30.000000;-0.029770
2.751000;0.453101;0.455650;-0.002548;-0.385119;-30.000000;-0.032770
2.753000;0.455558;0.455024;0.000534;-0.385161;-30.000000;-0.031621
2.754000;0.456321;0.454108;0.002213;-0.385198;-30.000000;-0.028250
2.755000;0.456519;0.453513;0.003006;-0.385230;-30.000000;-0.023865
2.756000;0.456397;0.453635;0.002762;-0.385257;-30.000000;-0.019864
2.758000;0.455467;0.454276;0.001190;-0.385281;-30.000000;-0.018012
2.759000;0.454475;0.455375;-0.000900;-0.385306;-30.000000;-0.018972
2.760000;0.454047;0.456474;-0.002426;-0.385335;-30.000000;-0.021954
2.762000;0.453742;0.457694;-0.003952;-0.385371;-30.000000;-0.026931
2.763000;0.452491;0.458625;-0.006134;-0.385418;-30.000000;-0.034751
2.764000;0.450416;0.459022;-0.008606;-0.385479;-30.000000;-0.045762
2.765000;0.447425;0.459174;-0.011749;-0.385560;-30.000000;-0.060818
2.767000;0.443992;0.459022;-0.015030;-0.385666;-30.000000;-0.080047
2.768000;0.442847;0.458427;-0.015579;-0.385799;-30.000000;-0.099753
2.769000;0.446296;0.457649;-0.011353;-0.385951;-30.000000;-0.113560
2.770000;0.451148;0.456703;-0.005554;-0.385986;-30.000000;-0.026118
2.772000;0.454582;0.455451;-0.000870;-0.386022;-30.000000;-0.026929
2.773000;0.456458;0.455146;0.001312;-0.386055;-30.000000;-0.024821
2.774000;0.457893;0.455299;0.002594;-0.386083;-30.000000;-0.021031
2.776000;0.458244;0.455650;0.002594;-0.386106;-30.000000;-0.017292
2.777000;0.458122;0.455924;0.002197;-0.386125;-30.000000;-0.014131
2.778000;0.458000;0.456199;0.001801;-0.386140;-30.000000;-0.011542
2.779000;0.458213;0.456504;0.001709;-0.386152;-30.000000;-0.009110
2.781000;0.458503;0.456992;0.001511;-0.386161;-30.000000;-0.006974
2.782000;0.458747;0.457603;0.001144;-0.386169;-30.000000;-0.005355
2.783000;0.458656;0.458244;0.000412;-0.386175;-30.000000;-0.004734
2.785000;0.458625;0.458778;-0.000153;-0.386181;-30.000000;-0.004875
2.786000;0.458137;0.458808;-0.000671;-0.386189;-30.000000;-0.005705
2.787000;0.457786;0.458228;-0.000443;-0.386197;-30.000000;-0.006219
2.788000;0.457862;0.457771;0.000092;-0.386205;-30.000000;-0.006014
2.790000;0.458259;0.457527;0.000732;-0.386212;-30.000000;-0.004957
2.791000;0.460319;0.457298;0.003021;-0.386213;-30.000000;-0.000863
2.792000;0.463416;0.457282;0.006134;-0.386203;-30.000000;0.007328
2.794000;0.465278;0.457191;0.008087;-0.386179;-30.000000;0.018013
2.795000;0.464546;0.456840;0.007706;-0.386142;-30.000000;0.028047
2.796000;0.461265;0.456519;0.004746;-0.386097;-30.000000;0.034001
2.797000;0.457008;0.456626;0.000381;-0.386051;-30.000000;0.034056
2.799000;0.453269;0.457084;-0.003815;-0.386013;-30.000000;0.028516
2.800000;0.450187;0.457923;-0.007736;-0.385989;-30.000000;0.017820
2.801000;0.446983;0.458610;-0.011627;-0.385987;-30.000000;0.002079
2.802000;0.443900;0.458869;-0.014969;-0.386010;-30.000000;-0.017907
2.804000;0.441962;0.458656;-0.016693;-0.386064;-30.000000;-0.039926
2.805000;0.442634;0.458259;-0.015625;-0.386144;-30.000000;-0.060227
2.806000;0.446128;0.457862;-0.011734;-0.386244;-30.000000;-0.075070
2.808000;0.451209;0.457572;-0.006363;-0.386354;-30.000000;-0.082553
2.809000;0.454948;0.457572;-0.002625;-0.386467;-30.000000;-0.084952
2.810000;0.457038;0.458305;-0.001267;-0.386581;-30.000000;-0.085508
2.811000;0.458122;0.459159;-0.001038;-0.386696;-30.000000;-0.085751
2.813000;0.458946;0.459434;-0.000488;-0.386809;-30.000000;-0.085259
2.814000;0.459236;0.459586;-0.000351;-0.386922;-30.000000;-0.084590
2.815000;0.459190;0.459617;-0.000427;-0.387034;-30.000000;-0.084032
2.817000;0.458762;0.460258;-0.001495;-0.387147;-30.000000;-0.084905
2.818000;0.456886;0.460807;-0.003922;-0.387266;-30.000000;-0.089002
2.819000;0.453040;0.461173;-0.008133;-0.387398;-30.000000;-0.098659
2.820000;0.448676;0.460777;-0.012100;-0.387549;-30.000000;-0.113478
2.822000;0.443046;0.460166;-0.017121;-0.387604;-30.000000;-0.041459
2.823000;0.437491;0.459556;-0.022065;-0.387698;-30.000000;-0.070325
2.824000;0.436698;0.459129;-0.022431;-0.387830;-30.000000;-0.099295
2.826000;0.439994;0.459052;-0.019059;-0.387995;-30.000000;-0.123383
2.827000;0.446097;0.458869;-0.012772;-0.388056;-30.000000;-0.045433
2.828000;0.453178;0.458595;-0.005417;-0.388125;-30.000000;-0.052050
2.829000;0.458671;0.458000;0.000671;-0.388192;-30.000000;-0.050461
2.831000;0.461677;0.457313;0.004364;-0.388251;-30.000000;-0.043970
2.832000;0.462806;0.456443;0.006363;-0.388297;-30.000000;-0.034899
2.833000;0.463645;0.456046;0.007599;-0.388330;-30.000000;-0.024302
2.834000;0.463401;0.456214;0.007187;-0.388349;-30.000000;-0.014395
2.836000;0.462104;0.456306;0.005798;-0.388358;-30.000000;-0.006472
2.837000;0.459724;0.456580;0.003143;-0.388360;-30.000000;-0.002195
2.838000;0.456825;0.457282;-0.000458;-0.388364;-30.000000;-0.002776
2.840000;0.453925;0.457923;-0.003998;-0.388375;-30.000000;-0.008069
2.841000;0.451240;0.458534;-0.007294;-0.388399;-30.000000;-0.017687
2.842000;0.450156;0.458228;-0.008072;-0.388436;-30.000000;-0.028214
2.843000;0.451453;0.457435;-0.005982;-0.388484;-30.000000;-0.035813
2.845000;0.454276;0.457527;-0.003250;-0.388537;-30.000000;-0.039669
